"","rate_present","rate_absent","ratio_absent","ratio_present","consistency_present","consistency_absent","buttons_present","buttons_absent","popularity","word_category","word"
"1",7.83250000512954,6.54517297027283,0.193008249211358,0.196457113334679,0.676881946869848,0.68434183054565,13.3630573248408,12.8724489795918,157,"play","play"
"2",7.68766925073787,7.02022332176602,0.19485558404163,0.192768083518521,0.70529791955325,0.676735582363971,12.7358490566038,13.1533333333333,53,"treat","treat"
"3",5.99773014941049,7.25353589730009,0.197552529548655,0.175277134218023,0.735822606776853,0.67170943811496,9.37837837837838,13.6299898497701,74,"food","food"
"4",5.82161304428341,7.6659121465233,0.20070338316232,0.192806086895556,0.677202650443849,0.686639632666525,10.703056768559,14.4517540450536,229,"outside","outside"
"5",8.87361069739071,6.78975222183111,0.19341625581806,0.200776354617977,0.678069556136863,0.681557553224492,16.4259259259259,12.4882943143813,54,"all done","all done"
"6",6.32299765527327,7.16716877379403,0.193755436741965,0.213395433111874,0.662973008910186,0.682103765243955,15.3030303030303,12.9596419949361,33,"toy","toy"
"7",7.89151696599607,7.07785928107063,0.191693448621902,0.247559908368528,0.76847946652309,0.676324877755517,13.5555555555556,13.065671641791,36,"parent","parent"
"8",8.80826589403289,7.06682342635404,0.195067418873592,0.178211489472916,0.646803993066328,0.682124621408725,10.6363636363636,13.1695906432749,11,"brush","brush"
"9",8.74563148649181,7.06626162496026,0.194783849250633,0.187027926841285,0.560415143851639,0.684903210126157,20.8181818181818,12.8421052631579,11,"ice","ice"
"10",7.74210466892256,7.03176615830308,0.200262006843017,0.154373261919963,0.667429096589104,0.682959819403214,13.1818181818182,13.0776699029126,44,"scritches","scritches"
"11",7.04537200253986,7.13234261629382,0.191020068813126,0.219934007137248,0.714201279300029,0.67642196592133,11.7906976744186,13.2709677419355,43,"water","water"
"12",6.22153192197731,7.15137023587582,0.194539954641464,0.194610831962722,0.698389889352641,0.680465425914136,8.36363636363636,13.2426900584795,11,"cuddle","cuddle"
"13",6.84046032921567,7.14394249839537,0.193457841168622,0.208768469426507,0.707343215203041,0.679017939223895,13.52,13.0579268292683,25,"love you","love you"
